"Story","Title","Result","Date","Stability","Duration (s)"
"Testing the Categories features on the best buy application","Verify if best buy application categories can be accessed by users","SUCCESS","2020-06-09T11:16:21.655+01:00[Europe/London]","0.0","1.13"
"Testing the Categories features on the best buy application","Create a new Category & verify if the Category is added","SUCCESS","2020-06-09T11:16:22.983+01:00[Europe/London]","0.0","0.3"
"Testing the Categories features on the best buy application","Getting the Category by id and verifying","SUCCESS","2020-06-09T11:16:23.356+01:00[Europe/London]","0.0","0.11"
"Testing the Categories features on the best buy application","Updating the Category created and verify it is updated with status 200","SUCCESS","2020-06-09T11:16:23.536+01:00[Europe/London]","0.0","0.41"
"Testing the Categories features on the best buy application","Deleting the Category created and verify it is deleted","SUCCESS","2020-06-09T11:16:24.056+01:00[Europe/London]","0.0","0.36"
"Categories CRUD test","Creating a new category in the list","SUCCESS","2020-06-09T11:15:46.826+01:00[Europe/London]","0.0","22.05"
"Categories CRUD test","Verify category was added to the list","SUCCESS","2020-06-09T11:16:10.170+01:00[Europe/London]","0.0","0.63"
"Categories CRUD test","Updating the category information and verifying ","SUCCESS","2020-06-09T11:16:10.800+01:00[Europe/London]","0.0","0.96"
"Categories CRUD test","Deleting the category information and verify if the category is deleted ","SUCCESS","2020-06-09T11:16:11.760+01:00[Europe/London]","0.0","2.48"
"Product CRUD test","Creating a new Product in the list","SUCCESS","2020-06-09T11:16:19.770+01:00[Europe/London]","0.0","0.65"
"Product CRUD test","Verify product was added to the list","SUCCESS","2020-06-09T11:16:20.424+01:00[Europe/London]","0.0","0.43"
"Product CRUD test","Updating the product information and verifying ","SUCCESS","2020-06-09T11:16:20.856+01:00[Europe/London]","0.0","0.6"
"Product CRUD test","Deleting the product information and verify if the product is deleted ","SUCCESS","2020-06-09T11:16:21.461+01:00[Europe/London]","0.0","0.65"
"Testing the Product features on the best buy application","Verify if best buy product application can be accessed by users","SUCCESS","2020-06-09T11:16:24.525+01:00[Europe/London]","0.0","35.89"
"Testing the Product features on the best buy application","Create a new Product & verify if the product is added","SUCCESS","2020-06-09T11:17:00.557+01:00[Europe/London]","0.0","0.7"
"Testing the Product features on the best buy application","Getting the product by id and verifying","SUCCESS","2020-06-09T11:17:01.479+01:00[Europe/London]","0.0","0.11"
"Testing the Product features on the best buy application","Updating the product created and verify it is updated with status 200","SUCCESS","2020-06-09T11:17:01.816+01:00[Europe/London]","0.0","0.38"
"Testing the Product features on the best buy application","Deleting the product created and verify it is deleted","SUCCESS","2020-06-09T11:17:02.453+01:00[Europe/London]","0.0","0.35"
"Testing the Services features on the best buy application","Verify if best buy application services can be accessed by users","SUCCESS","2020-06-09T11:17:03.124+01:00[Europe/London]","0.0","0.05"
"Testing the Services features on the best buy application","Create a new Service & verify if the Service is added","SUCCESS","2020-06-09T11:17:03.525+01:00[Europe/London]","0.0","0.37"
"Testing the Services features on the best buy application","Getting the services by id and verifying","SUCCESS","2020-06-09T11:17:04.133+01:00[Europe/London]","0.0","0.11"
"Testing the Services features on the best buy application","Updating the Service created and verify it is updated with status 200","SUCCESS","2020-06-09T11:17:04.461+01:00[Europe/London]","0.0","0.25"
"Testing the Services features on the best buy application","Deleting the service created and verify it is deleted","SUCCESS","2020-06-09T11:17:04.958+01:00[Europe/London]","0.0","0.5"
"Testing the Stores features on the best buy application","Verify if best buy stores application can be accessed by users","SUCCESS","2020-06-09T11:17:05.723+01:00[Europe/London]","0.0","0.23"
"Testing the Stores features on the best buy application","Create a new Store & verify if the product is added","SUCCESS","2020-06-09T11:17:06.258+01:00[Europe/London]","0.0","0.3"
"Testing the Stores features on the best buy application","Getting the Store by id and verifying","SUCCESS","2020-06-09T11:17:06.779+01:00[Europe/London]","0.0","0.08"
"Testing the Stores features on the best buy application","Updating the Store created and verify it is updated with status 200","SUCCESS","2020-06-09T11:17:07.119+01:00[Europe/London]","0.0","0.29"
"Testing the Stores features on the best buy application","Deleting the Store created and verify it is deleted","SUCCESS","2020-06-09T11:17:07.735+01:00[Europe/London]","0.0","0.31"
